IP:Port,Loss,Latency
[2606:4700:d0:0:13:dfce:9406:a4bb]:2371,0%,230.69
[2606:4700:d0:0:8e8a:a249:e4f9:6860]:891,0%,231.26
[2606:4700:d1:0:c4:2501:a5d4:a075]:1843,0%,232.53
[2606:4700:d0:0:c5:d09a:ee9e:c454]:7152,0%,233.20
[2606:4700:d1::2a26:fc06:4214]:7156,0%,233.64
[2606:4700:d1:0:c57b:f26f:7f60:62de]:1014,0%,236.65
[2606:4700:d1:0:c56c:641e:ed56:64a5]:1387,0%,236.74
[2606:4700:d0:0:c5:d061:d403:107d]:1070,0%,237.37
[2606:4700:d1::1ec6:6aa3:b3b1]:8742,0%,238.56
[2606:4700:d1::2ab1:37dd:814]:854,0%,238.56
[2606:4700:d0::cec4:561:2e7b]:3581,0%,238.70
[2606:4700:d1:0:c4:2501:1133:7df3]:955,0%,238.88
[2606:4700:d1:0:c4:2501:a5c7:c1ee]:4500,0%,238.96
[2606:4700:d1:0:c4:2592:9bbb:ee80]:1074,0%,238.97
[2606:4700:d0:0:c5:d061:d4c6:45c8]:8742,0%,239.05
[2606:4700:d1::ae:71ca:6a2e]:3854,0%,239.05
[2606:4700:d1:0:c56c:641e:edd5:9589]:943,0%,239.10
[2606:4700:d0:0:c5:d061:c305:12ea]:7103,0%,239.26
[2606:4700:d1::1ec6:5872:9cd0]:859,0%,239.48
[2606:4700:d1:0:c56c:641e:597d:a65a]:988,0%,239.89
[2606:4700:d1:0:c4:2501:a5d4:a075]:7156,0%,240.59
[2606:4700:d1:0:c4:2501:a5d4:a075]:4233,0%,241.30
[2606:4700:d1:0:c56c:641e:61a4:a5d0]:891,0%,241.37
[2606:4700:d1::1ec6:97d:5007]:891,0%,241.61
[2606:4700:d0::94b8:12dd]:894,0%,241.77
[2606:4700:d1::ff:fced]:987,0%,242.01
[2606:4700:d1:0:c53c:89f9:4b12:ee60]:3476,0%,242.45
[2606:4700:d0::63:7036:1a61]:2371,0%,242.55
[2606:4700:d1:0:c53c:d986:2cb6:7318]:908,0%,242.67
[2606:4700:d0:0:c5:d024:da78:ab8]:859,0%,242.68
[2606:4700:d1:0:c57b:4efc:2d60:5841]:891,0%,242.70
[2606:4700:d0::63:7036:1a61]:988,0%,242.75
[2606:4700:d1::d344:a4b:5c7d]:7152,0%,242.75
[2606:4700:d1:0:c53c:d901:ddc1:9efe]:4500,0%,242.76
[2606:4700:d0:0:c5:d061:c3aa:bc71]:1002,0%,242.90
[2606:4700:d1::d344:a39:167c]:946,0%,243.24
[2606:4700:d0::63:8bdc:e4a6]:988,0%,243.34
[2606:4700:d1::ae:8f92:f869]:1014,0%,243.82
[2606:4700:d0::63:8bdc:e4a6]:1014,0%,243.83
[2606:4700:d1:0:c57b:4efc:2d9c:136e]:500,0%,243.88
[2606:4700:d0::cec4:561:2e7b]:8742,0%,243.94
[2606:4700:d1:0:c5b2:9240:deed:8f20]:1701,0%,244.11
[2606:4700:d1:0:c4:2501:cde9:bd9c]:3581,0%,244.12
[2606:4700:d0:0:13:dfce:9406:a4bb]:928,0%,244.93
[2606:4700:d0:0:13:190a:3d24:2db8]:859,0%,245.08
[2606:4700:d0:0:c5:d09a:ee24:a287]:1180,0%,245.16
[2606:4700:d1:0:c57b:f2f6:f5ef:f61c]:946,0%,245.21
[2606:4700:d1:0:c4:2501:8bee:c9bf]:500,0%,245.25
[2606:4700:d1:0:c4:2501:2f15:63f]:1010,0%,245.28
[2606:4700:d0::94b8:12dd]:945,0%,245.35
[2606:4700:d1:0:c56c:641e:ed56:64a5]:2408,0%,245.38
[2606:4700:d1:0:c53c:89f9:4b12:ee60]:8319,0%,245.44
[2606:4700:d0:0:8e8a:a249:e4f9:6860]:7103,0%,245.77
[2606:4700:d1:0:c57b:f26f:fa0a:dc9]:3138,0%,246.15
[2606:4700:d1::d344:6e1a:b4d5]:8886,0%,246.46
[2606:4700:d1::1e4b:79f9:1291]:4198,0%,246.76
[2606:4700:d0:0:8e8a:a249:e4d5:c737]:1002,0%,246.97
[2606:4700:d0:0:c5:d09a:ee24:a287]:1018,0%,247.12
[2606:4700:d1:0:c4:2501:cde9:bd9c]:934,0%,247.23
[2606:4700:d0:0:8e8a:a249:1dff:72b9]:1070,0%,248.21
[2606:4700:d1::b6:8f28]:500,0%,248.43
[2606:4700:d0::2840]:854,0%,248.44
[2606:4700:d0:0:13:19df:a31f:c9b2]:4500,0%,248.53
[2606:4700:d0:0:c5:d061:d4c6:45c8]:864,0%,248.79
[2606:4700:d0:0:13:190a:f06d:a80f]:943,0%,248.83
[2606:4700:d1:0:c57b:d6cb:9bb6:cdf2]:7281,0%,248.92
[2606:4700:d0:0:13:edcb:78ca:880f]:7103,0%,249.03
[2606:4700:d1:0:c57b:f2f6:f5ef:f61c]:7103,0%,249.07
[2606:4700:d1:0:c57b:4e99:8a9b:f6c6]:2408,0%,249.27
[2606:4700:d0::cec4:55d:c438]:7103,0%,249.34
[2606:4700:d1:0:c4:2501:a5c7:c1ee]:987,0%,249.38
[2606:4700:d1:0:c53c:d986:2cb6:7318]:7281,0%,249.44
[2606:4700:d0::2840]:8854,0%,249.53
[2606:4700:d1:0:c57b:4efc:2d60:5841]:7281,0%,249.54
[2606:4700:d1:0:c53c:1471:c9a0:780e]:955,0%,249.99
[2606:4700:d0:0:8e8a:a20a:8916:f76b]:7152,0%,250.16
[2606:4700:d0:0:c5:d024:da78:ab8]:1014,0%,250.60
[2606:4700:d1::1e4b:79f9:1291]:943,0%,250.64
[2606:4700:d0:0:13:190a:f00f:48a1]:7156,0%,250.66
[2606:4700:d0:0:c5:d09a:ee24:a287]:1387,0%,250.73
[2606:4700:d0:0:c5:d061:c3aa:bc71]:903,0%,250.85
[2606:4700:d0::94b8:12dd]:939,0%,250.94
[2606:4700:d0:0:c5:d061:c305:12ea]:3581,0%,250.97
[2606:4700:d1:0:c57b:f2f6:f59a:c5c3]:1018,0%,251.02
[2606:4700:d1:0:c56c:641e:8ca:39f4]:2371,0%,251.19
[2606:4700:d1::2ab1:c072:70f1]:2506,0%,251.39
[2606:4700:d1:0:c53c:1471:c914:5a4b]:3854,0%,251.46
[2606:4700:d1:0:c57b:4efc:2d18:8ecc]:1070,0%,251.52
[2606:4700:d0:0:8e8a:a249:1d1a:1b47]:4198,0%,251.56
[2606:4700:d1:0:c4:2501:8b7b:574a]:4500,0%,251.72
[2606:4700:d1:0:c56c:641e:61a4:a5d0]:7152,0%,251.86
[2606:4700:d1:0:c53c:d986:2cb6:7318]:928,0%,251.94
[2606:4700:d1:0:c4:2501:8b7b:574a]:7281,0%,252.05
[2606:4700:d1:0:c5b2:922a:e390:4ff2]:968,0%,252.12
[2606:4700:d0:0:c5:d061:c3aa:bc71]:878,0%,252.19
[2606:4700:d1::d344:abf:5976]:7103,0%,252.34
[2606:4700:d0::ce26:d2b6:e27b]:878,0%,252.44
[2606:4700:d1:0:c57b:4e99:8a0a:6092]:934,0%,252.63
[2606:4700:d1:0:c57b:4efc:2d60:5841]:4198,0%,252.66
[2606:4700:d0:0:8e8a:4a54:f1e4:f682]:939,0%,252.84
[2606:4700:d0:0:8e8a:a2e9:26ac:4140]:939,0%,252.88
[2606:4700:d0:0:13:190a:f06d:a80f]:7559,0%,253.10
[2606:4700:d0::cec4:561:2e7b]:7281,0%,253.15
[2606:4700:d1::2a26:fc85:40ca]:8319,0%,253.19
[2606:4700:d1:0:c4:2592:f0ab:6695]:934,0%,253.55
[2606:4700:d0:0:8e8a:a249:e46f:8147]:942,0%,253.69
[2606:4700:d1:0:c5b2:9240:de40:2fe5]:4177,0%,253.75
[2606:4700:d1::1ec6:97d:5007]:2371,0%,254.15
[2606:4700:d0:0:13:190a:3d24:2db8]:1070,0%,254.38
[2606:4700:d1::1e4b:79f1:dbbe]:7103,0%,254.38
[2606:4700:d0:0:8e8a:a2e9:7c47:85f8]:854,0%,254.41
[2606:4700:d1::1ec6:58f4:4fe7]:7103,0%,254.54
[2606:4700:d0::cec4:5c3:69c3]:4198,0%,254.62
[2606:4700:d1:0:c53c:d901:ddc1:9efe]:945,0%,254.69
[2606:4700:d0:0:8e8a:a2e9:7c47:85f8]:864,0%,254.72
[2606:4700:d0:0:8e8a:a2e9:a9aa:7d49]:5956,0%,254.90
[2606:4700:d1::1ec6:6aa3:b3b1]:880,0%,254.91
[2606:4700:d1:0:c57b:f26f:fa0a:dc9]:1701,0%,255.09
[2606:4700:d1:0:c57b:4efc:2d9c:136e]:945,0%,255.10
[2606:4700:d0:0:c5:d024:da78:ab8]:945,0%,255.36
[2606:4700:d1:0:c4:2592:9bbb:ee80]:943,0%,255.93
[2606:4700:d1::d344:6e95:cd75]:878,0%,256.77
[2606:4700:d1::ae:71da:a30b]:946,0%,257.01
[2606:4700:d1::2ab1:3724:2df9]:854,0%,257.35
[2606:4700:d1::1e4b:7924:a03c]:1387,0%,257.49
[2606:4700:d1:0:c53c:d986:2cf7:9113]:1701,0%,258.02
[2606:4700:d1:0:c53c:89f9:4b12:ee60]:2506,0%,258.43
[2606:4700:d1::92:306a]:903,0%,259.39
[2606:4700:d0:0:c5:d061:9123:ef44]:2371,0%,259.50
[2606:4700:d1::2a26:a80:c976]:7559,0%,259.63
[2606:4700:d1::1ec6:58f4:4fe7]:943,0%,259.76
[2606:4700:d1:0:c57b:4e99:8a0a:6092]:939,0%,259.79
[2606:4700:d1:0:c4:2501:cd66:750b]:1010,0%,259.93
[2606:4700:d1::1e58:47b2:65d4]:7281,0%,260.05
[2606:4700:d0:0:13:edcb:de3b:475]:891,0%,260.23
[2606:4700:d0::cec4:88a8:b536]:3854,0%,260.30
[2606:4700:d1::2a26:ab3:fafe]:934,0%,261.40
[2606:4700:d1:0:c4:2501:1105:a7fc]:2408,0%,262.87
[2606:4700:d1:0:c53c:892a:7822:a272]:1074,0%,263.31
[2606:4700:d0:0:c5:d061:d403:107d]:854,0%,264.00
[2606:4700:d1:0:c57b:f2f6:f5ef:f61c]:8319,0%,264.16
[2606:4700:d1:0:c53c:d986:2cf7:9113]:8886,0%,264.19
[2606:4700:d1::eaa4]:1018,0%,264.25
[2606:4700:d1:0:c4:2501:8b2f:95d8]:891,0%,264.36
[2606:4700:d1:0:c57b:f2f6:f5ef:f61c]:2371,0%,264.46
[2606:4700:d1:0:c4:2501:8bee:c9bf]:1074,0%,264.52
[2606:4700:d0:0:13:edcb:de3b:475]:8886,0%,264.56
[2606:4700:d1:0:c56c:641e:847:8be7]:7559,0%,264.56
[2606:4700:d1:0:c57b:d6cb:9b09:7d56]:1070,0%,264.57
[2606:4700:d1:0:c4:2592:9bbb:ee80]:7103,0%,264.60
[2606:4700:d1:0:c56c:641e:8ca:39f4]:1018,0%,264.64
[2606:4700:d1::ff:fced]:3476,0%,264.68
[2606:4700:d1::b6:8f28]:8319,0%,265.69
[2606:4700:d0::ce26:d2b6:e27b]:1843,0%,265.76
[2606:4700:d0:0:13:dfce:9406:a4bb]:946,0%,266.03
[2606:4700:d0:0:8e8a:a249:e4d5:c737]:8319,20%,256.23
[2606:4700:d1::d344:a01:fa39]:928,40%,254.22
[2606:4700:d0:0:8e8a:a2e9:a9aa:7d49]:4233,50%,250.59
[2606:4700:d1::d344:abf:5976]:880,60%,232.70
[2606:4700:d0:0:8e8a:4a54:f12b:8281]:942,70%,251.69
